RSI,MACD,MACD_Hist,MACD_Signal,CCI,4. close,5. volume,bb_value,price
51.2715,-0.1519,0.0656,-0.2175,17.7448,83.5,12488,9,83.05
43.2771,-0.1628,0.0438,-0.2066,-92.1569,83.2,6361,-79,83
39.9951,-0.1815,0.0201,-0.2016,-206.4536,83.05,4505,-117,82.75
38.9583,-0.1981,0.0028,-0.2009,-184.7054,83,4623,-111,82.55
34.2815,-0.2287,-0.0223,-0.2064,-233.8862,82.75,8751,-139,82.6
31.1341,-0.2661,-0.0477,-0.2184,-253.6786,82.55,5451,-139,82.6013
32.7586,-0.2884,-0.056,-0.2324,-206.2085,82.6,6503,-106,82.1
32.802,-0.3024,-0.056,-0.2464,-149.035,82.6013,2043,-92,82
25.994,-0.35,-0.0829,-0.2671,-188.6177,82.1,8744,-128,82
24.9085,-0.3912,-0.0993,-0.2919,-179.5526,82,5370,-113,81.75
24.9085,-0.4191,-0.1017,-0.3173,-154.3605,82,9060,-96,81.7
22.3258,-0.4561,-0.111,-0.3451,-154.0228,81.75,709,-100,81.75
21.8489,-0.4838,-0.111,-0.3728,-143.4894,81.7,3265,-90,81.75
23.5677,-0.4961,-0.0986,-0.3975,-121.5966,81.75,2456,-76,81.25
23.5677,-0.5,-0.082,-0.418,-103.2742,81.75,946,-68,81.05
18.9499,-0.5373,-0.0955,-0.4419,-133.3508,81.25,2491,-91,80.7
17.5057,-0.5764,-0.1076,-0.4688,-141.352,81.05,3741,-92,81.1
15.3506,-0.6283,-0.1276,-0.5007,-150.4639,80.7,9863,-99,81
26.27,-0.6299,-0.1034,-0.5265,-124.506,81.1,3199,-67,81.4
25.4075,-0.632,-0.0844,-0.5476,-106.6281,81,502,-67,81.5
34.4667,-0.5945,-0.0375,-0.557,-72.4043,81.4,2088,-38,81.8
36.4963,-0.5504,0.0053,-0.5557,-44.3361,81.5,2017,-27,81.8
42.1538,-0.4856,0.056,-0.5417,-11.4497,81.8,5925,-1,82.15
42.1538,-0.4293,0.0899,-0.5192,9.94,81.8,4084,3,82.25
48.1276,-0.3524,0.1334,-0.4858,58.2547,82.15,1352,40,82.3
49.6902,-0.2802,0.1645,-0.4447,89.8422,82.25,2529,53,82.3
50.4754,-0.2164,0.1827,-0.399,94.4588,82.3,763,62,82.2
50.4754,-0.1639,0.1881,-0.352,108.5066,82.3,1098,67,82.2
48.7879,-0.129,0.1784,-0.3074,96.7478,82.2,940,55,81.9
48.7879,-0.1001,0.1659,-0.2659,93.1178,82.2,1562,53,81.65
43.9087,-0.1003,0.1325,-0.2328,48.7669,81.9,3175,22,81.75
40.3673,-0.1192,0.0909,-0.2101,-8.8528,81.65,304,-3,82
42.3258,-0.1247,0.0683,-0.193,-0.3946,81.75,1729,6,81.9513
46.9141,-0.1076,0.0683,-0.1759,31.4298,82,711,31,82.05
46.1611,-0.0969,0.0632,-0.1601,32.2536,81.9513,1172,25,82.0034
47.9437,-0.0796,0.0645,-0.144,54.8533,82.05,1725,31,82.2
47.1675,-0.0688,0.0602,-0.129,42.3211,82.0034,3120,22,82.2
50.7109,-0.0438,0.0681,-0.1119,61.5458,82.2,9809,43,82.2
50.7109,-0.0238,0.0705,-0.0943,60.5241,82.2,196,40,82.5
50.7109,-0.0079,0.0692,-0.077,64.142,82.2,755,40,82.65
55.9672,0.0287,0.0846,-0.0559,107.9838,82.5,1787,92,82.75
58.3073,0.0689,0.0999,-0.0309,170.8429,82.65,3083,111,82.6
59.8062,0.1077,0.1109,-0.0032,174.6702,82.75,786,109,82.6
56.5935,0.1248,0.1024,0.0224,141.1986,82.6,1044,73,82.65
56.5935,0.1368,0.0915,0.0453,114.9819,82.6,700,66,83
57.438,0.1487,0.0827,0.066,115.2904,82.65,4647,68,83.403
62.7743,0.1842,0.0946,0.0896,155.579,83,8945,104,83.5
67.6849,0.242,0.122,0.1201,192.3801,83.403,7348,126,83.4
68.73,0.2924,0.1378,0.1545,192.6012,83.5,6424,111,83.5
66.3997,0.3205,0.1327,0.1877,149.0488,83.4,5007,87,83.5
67.5576,0.3468,0.1273,0.2196,138.0588,83.5,698,84,83.5
67.5576,0.3635,0.1152,0.2483,129.8867,83.5,1542,76,83.5
67.5576,0.3725,0.0993,0.2732,115.5038,83.5,12545,69,83.7
67.5576,0.3752,0.0816,0.2936,100.5428,83.5,2664,63,83.7531
70.0886,0.3891,0.0764,0.3127,100.7788,83.7,3187,73,83.9
70.7269,0.3997,0.0696,0.3301,114.82,83.7531,16851,70,83.9
72.4395,0.4152,0.0681,0.3471,102.9576,83.9,1879,76,83.9027
72.4395,0.4226,0.0604,0.3622,90.4441,83.9,733,69,83.75
72.4723,0.4238,0.0493,0.3745,91.3212,83.9027,10199,64,83.85
67.6776,0.4078,0.0266,0.3812,81.6771,83.75,1513,46,83.8
69.0874,0.3985,0.0139,0.3846,75.199,83.85,0,52,83.8
67.5371,0.3827,-0.0015,0.3843,74.8271,83.8,815,42,83.85
67.5371,0.366,-0.0146,0.3806,75.3437,83.8,1243,38,83.85
68.3247,0.3527,-0.0223,0.375,80.4448,83.85,478,41,83.8
68.3247,0.3383,-0.0294,0.3677,66.8735,83.85,196,39,83.8
66.5361,0.3191,-0.0388,0.358,66.7023,83.8,1139,30,83.6
66.5361,0.3005,-0.046,0.3465,56.3636,83.8,213,29,83.6
59.6183,0.2665,-0.064,0.3305,-20.1208,83.6,1938,-33,83.55
59.6183,0.2368,-0.0749,0.3118,-55.3582,83.6,339,-35,83.6
57.9495,0.2069,-0.0839,0.2908,-72.567,83.55,477,-58,83.6
59.1531,0.1851,-0.0845,0.2696,-54.4001,83.6,796,-44,83.55
59.1531,0.1659,-0.083,0.2489,-78.503,83.6,229,-48,83.8
57.3348,0.145,-0.0831,0.2281,-75.6871,83.55,537,-70,83.6
63.2765,0.1469,-0.065,0.2119,-23.2025,83.8,454,21,83.6
56.6345,0.1307,-0.0649,0.1956,-61.1744,83.6,857,-58,83.8
56.6345,0.1166,-0.0632,0.1798,-65.0631,83.6,697,-53,83.55
61.1528,0.1201,-0.0477,0.1679,-26.3019,83.8,431,28,83.05
53.7802,0.1016,-0.053,0.1546,-118.0106,83.55,876,-66,83.1
